   1.3224D+00  8.3359D-01
   1.3259D+00  8.3005D-01
   1.3294D+00  8.2646D-01
   1.3328D+00  8.2282D-01
   1.3363D+00  8.1914D-01
   1.3398D+00  8.1542D-01
   1.3433D+00  8.1165D-01
   1.3468D+00  8.0784D-01
   1.3502D+00  8.0398D-01
   1.3537D+00  8.0008D-01
   1.3572D+00  7.9613D-01
   1.3607D+00  7.9214D-01
   1.3642D+00  7.8811D-01
   1.3676D+00  7.8403D-01
   1.3711D+00  7.7991D-01
   1.3746D+00  7.7574D-01
   1.3781D+00  7.7153D-01
   1.3816D+00  7.6727D-01
   1.3850D+00  7.6297D-01
   1.3885D+00  7.5863D-01
   1.3920D+00  7.5424D-01
   1.3955D+00  7.4981D-01
   1.3990D+00  7.4534D-01
   1.4024D+00  7.4082D-01
   1.4059D+00  7.3626D-01
   1.4094D+00  7.3165D-01
   1.4129D+00  7.2700D-01
   1.4164D+00  7.2231D-01
   1.4198D+00  7.1757D-01
   1.4233D+00  7.1279D-01
   1.4268D+00  7.0797D-01
   1.4303D+00  7.0310D-01
   1.4338D+00  6.9819D-01
   1.4372D+00  6.9323D-01
   1.4407D+00  6.8824D-01
   1.4442D+00  6.8319D-01
   1.4477D+00  6.7811D-01
   1.4512D+00  6.7298D-01
   1.4546D+00  6.6781D-01
   1.4581D+00  6.6259D-01
   1.4616D+00  6.5733D-01
   1.4651D+00  6.5202D-01
   1.4686D+00  6.4668D-01
   1.4720D+00  6.4128D-01
   1.4755D+00  6.3585D-01
   1.4790D+00  6.3037D-01
   1.4825D+00  6.2484D-01
   1.4860D+00  6.1928D-01
   1.4894D+00  6.1366D-01
   1.4929D+00  6.0800D-01
   1.4964D+00  6.0230D-01
   1.4999D+00  5.9655D-01
   1.5034D+00  5.9076D-01
   1.5068D+00  5.8492D-01
   1.5103D+00  5.7904D-01
   1.5138D+00  5.7311D-01
   1.5173D+00  5.6714D-01
   1.5208D+00  5.6112D-01
   1.5242D+00  5.5505D-01
   1.5277D+00  5.4894D-01
   1.5312D+00  5.4278D-01
   1.5347D+00  5.3657D-01
   1.5382D+00  5.3031D-01
   1.5416D+00  5.2401D-01
   1.5451D+00  5.1765D-01
   1.5486D+00  5.1125D-01
   1.5521D+00  5.0480D-01
   1.5556D+00  4.9829D-01
   1.5590D+00  4.9174D-01
   1.5625D+00  4.8513D-01
   1.5660D+00  4.7848D-01
   1.5695D+00  4.7176D-01
   1.5730D+00  4.6500D-01
   1.5764D+00  4.5818D-01
   1.5799D+00  4.5130D-01
   1.5834D+00  4.4437D-01
   1.5869D+00  4.3738D-01
   1.5904D+00  4.3033D-01
   1.5938D+00  4.2322D-01
   1.5973D+00  4.1605D-01
   1.6008D+00  4.0882D-01
   1.6043D+00  4.0152D-01
   1.6078D+00  3.9415D-01
   1.6112D+00  3.8671D-01
   1.6147D+00  3.7921D-01
   1.6182D+00  3.7163D-01
   1.6217D+00  3.6398D-01
   1.6252D+00  3.5625D-01
   1.6286D+00  3.4843D-01
   1.6321D+00  3.4054D-01
   1.6356D+00  3.3256D-01
   1.6391D+00  3.2448D-01
   1.6426D+00  3.1631D-01
   1.6460D+00  3.0805D-01
   1.6495D+00  2.9967D-01
   1.6530D+00  2.9119D-01
   1.6565D+00  2.8259D-01
   1.6600D+00  2.7387D-01
   1.6634D+00  2.6502D-01
   1.6669D+00  2.5604D-01
   1.6704D+00  2.4690D-01
   1.6739D+00  2.3761D-01
   1.6774D+00  2.2814D-01
   1.6808D+00  2.1849D-01
   1.6843D+00  2.0864D-01
   1.6878D+00  1.9858D-01
   1.6913D+00  1.8828D-01
   1.6948D+00  1.7771D-01
   1.6982D+00  1.6686D-01
   1.7017D+00  1.5568D-01
   1.7052D+00  1.4413D-01
   1.7087D+00  1.3217D-01
   1.7122D+00  1.1974D-01
   1.7156D+00  1.0675D-01
   1.7191D+00  9.3117D-02
   1.7226D+00  7.8716D-02
   1.7261D+00  6.3391D-02
   1.7296D+00  4.6958D-02
   1.7330D+00  2.9276D-02
   1.7365D+00  1.0856D-02
   1.7400D+00  0.0000D+00
